rank,model,epoch,non_eddy_dice,anti_dice,cycl_dice,mean_dice,non_eddy_iou,anti_iou,cycl_iou,mean_iou,global_acc
1,DUNet,66,0.9617570637504035,0.8976548426423913,0.9097182732356204,0.9230433932094716,0.9263314299296078,0.814313771554208,0.8343882603034942,0.8583444872624367,0.9447977844743599
2,AutoDetectionAttention,79,0.9600867514046478,0.8947612224574458,0.9041488751007593,0.9196656163209509,0.9232373495591782,0.8095637256294108,0.8250654259116558,0.8526221670334149,0.9424205909383148
3,MUNet,74,0.9600359619450548,0.8928628810022526,0.9034647388982496,0.9187878606151857,0.9231434230558773,0.8064609755027726,0.8239267545217726,0.8511770510268075,0.9421397552153797
4,DCNN,74,0.9576216684931236,0.8887807966796824,0.9003284791713249,0.9155769814480436,0.9186891549335763,0.7998249076545919,0.8187249211408765,0.8457463279096816,0.9390314323016302
5,EddyNet,67,0.9521717751835583,0.8779209949400236,0.8925784720431952,0.9075570807222589,0.9087097986412416,0.7824056871049804,0.8059970386253954,0.8323708414572057,0.9319472082089229
6,PSPNet,80,0.9534432606841566,0.8733592141031672,0.8870425212874679,0.9046149986915973,0.911028733432497,0.7751887070269273,0.7970138466687853,0.8277437623760698,0.9322920898595427
7,DeepFramework,75,0.9442097467830582,0.8448192224980149,0.8674362914029412,0.8854884202280049,0.8943156502023928,0.7313307483568848,0.7659050743180363,0.797183824292438,0.9188330033250635
